rs,Rep,SHL,RDW,SDW,TPB,TRL,TSRL,TNR,NWA,PRL,PC1,PC2,PC3
id135,2,13.53333333,0.043666667,0.045033333,0.0887,96.9367,78.32,8.3333,0.5333,18.6133,-125.5518794,38.61294325,-2.747867026
id136,2,20.02,0.0557,0.062433333,0.118133333,328.0133,294.35,16.6667,1.95,33.6600,130.0259804,34.94354214,-3.687171813
id137,2,17.96666667,0.045666667,0.033733333,0.0794,234.5433,203.4467,14.6667,1.42,31.0933,118.9273555,28.4747047,5.157927591
id138,2,21.3,0.0745,0.0598,0.1343,346.76,312.18,20,2.075,34.5800,87.56762922,6.952814007,6.010897851
id139,2,19.7,0.052766667,0.048633333,0.1014,368.24,333.2233,19,2.1767,35.0167,108.9381536,23.39693902,11.39651924
id140,2,17.46666667,0.057766667,0.097966667,0.155733333,359.33,322.2033,18,2.1533,37.1233,-128.8637772,48.62143054,1.75354634
id141,2,24.73333333,0.0692,0.0698,0.139,353.7867,314.7267,17.6667,2.1,39.0533,96.53344176,-179.0224275,47.02550129
id142,2,19.13333333,0.060466667,0.055266667,0.115733333,339.97,300.9367,13.6667,1.8433,39.0367,110.6749944,18.06424387,-19.19985703
id143,2,19.4,0.050533333,0.058233333,0.108766667,325.5633,289.73,16.3333,1.9133,35.8333,-147.2728483,66.33520368,2.607933741
id144,2,23.2,0.078333333,0.072833333,0.151166667,429.33,391.1367,20.6667,2.5267,38.1933,-104.9794006,14.78141244,1.294832743
id145,2,20.26666667,0.044833333,0.057166667,0.102,304.51,273.74,16,1.8333,30.7700,86.45606908,-174.879441,33.13119964
id146,2,15.33333333,0.0257,0.030366667,0.056066667,108.91,84.7633,7,0.6067,24.1467,-126.017493,41.84472826,1.88602557
id147,2,11.66666667,0.0778,0.066733333,0.144533333,262.1367,230.5567,14.6667,1.5967,31.5767,99.42136392,12.2857763,-19.15687609
id148,2,20.16666667,0.052333333,0.079433333,0.131766667,326.62,286.6733,15.6667,1.9333,39.9467,87.00468004,8.15293385,36.96828547
id149,2,24.9,0.0956,0.115966667,0.211566667,429.95,393.5367,24.3333,2.5633,36.4100,85.64550334,3.692041631,21.09341667
id150,2,15.5,0.045333333,0.071766667,0.1171,272.27,233.24,12,1.53,39.0300,-153.1265315,-151.3427992,34.80325627
id151,2,23.7,0.0637,0.070966667,0.134666667,416.4167,376.88,21,2.4633,39.5300,61.77675479,-11.47600764,9.151488894
